#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A37492
#Date Time: 2023-06-27 08:42:32.768
#Sample rate: 80Hz
#Samples: 4991
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
11.4,2.520555174718825
11.4125,2.450995401474402
11.425,2.385096668927054
11.4375,2.315536895682631
11.45,2.238655041044058
11.4625,2.154451105011336
11.475,2.059264046887388
11.4875,1.953093866672216
11.5,1.843262645759969
11.5125,1.729770384150648
11.525,1.616278122541326
11.5375,1.502785860932004
11.55,1.392954640019757
11.5625,1.29044550050166
11.575,1.195258442377713
11.5875,1.11105450634499
11.6,1.037833692403492
11.6125,0.982918081947369
11.625,0.9353245528853953
11.6375,0.9023751866117212
11.65,0.8730868610351221
11.6625,0.8584426982468225
11.675,0.8437985354585229
11.6875,0.8364764540643731
11.7,0.8364764540643731
11.7125,0.8401374947614481
11.725,0.8401374947614481
11.7375,0.8401374947614481
11.75,0.8401374947614481
11.7625,0.8401374947614481
11.775,0.8364764540643731
11.7875,0.8328154133672983
11.8,0.8364764540643731
11.8125,0.8437985354585229
11.825,0.8694258203380472
11.8375,0.9280024714912455
11.85,1.041494733100567
11.8625,1.213563645863087
11.875,1.447870250475881
11.8875,1.729770384150648
11.9,2.040958843402014
11.9125,2.355808343350454
11.925,2.659674721207671
11.9375,2.926930692094138
11.95,3.142932093221557
11.9625,3.307678924589927
11.975,3.417510145502174
11.9875,3.476086796655372
12,3.498053040837822
12.0125,3.498053040837822
12.025,3.476086796655372
12.0375,3.435815348987548
12.05,3.37723869783435
12.0625,3.300356843195777
12.075,3.208830825768905
12.0875,3.098999604856658
12.1,2.978185261853187
12.1125,2.850048837455565
12.125,2.732895535149169
12.1375,2.630386395631072
12.15,2.535199337507124
12.1625,2.458317482868552
12.175,2.388757709624129
12.1875,2.32285897707678
12.2,2.256960244529433
12.2125,2.191061511982084
